"____ (breakdance)", "breakin'"
""Do math majors multiply? Do eggs get laid?"", "Moonlighting"
""Do you know how to get good penetration?"", "Wildcats"
""Ever danced with the devil in the pale moonlight?"", "Batman"
""How much for the women?"", "Blues Brothers"
""If brains were dynamite, you couldn't blow your nose."", "American"
""Is this Heaven?" "No, it's Iowa."", "Field of Dreams"
""Not too smart, are you? I like that in a man."", "Body Heat"
""Only a few select friends know my private parts."", "Zorro, the Gay"
""Poland, the doormat of Europe. Everybody steps on us."", "To Be or Not"
""The bargain basement? I've been kidnapped by K-Mart?"", "Ruthless"
""You made a woman meow?"", "When Harry Met Sally"
""You're a ghost, I'm an American. It would never work out."", "High"
"a ____ called wanda", "fish"
"a ____ to a kill", "view"
"a ____ to india", "passage"
"a ____ with a view", "room"
"a long way ____", "home"
"a shot of tom cruise, a jigger of sex on the beach", "cocktail"
"adventures in ____", "babysitting"
"after ____", "hours"
"alien meets the invisible man. in the jungle", "predator"
"all the ____ moves", "right"
"american ____ in london", "werewolf"
"an ____ and a gentleman", "officer"
"an american ____", "tail"
"and first-time actor ethan hawke paid an agent to get him this", "explorers"
"andy mccarthy does robby lowe's mom, and she's jackie bissette!", "class"
"at ____ range", "close"
"baby ____", "boom"
"back to ____", "school"
"back to the ____", "future"
"bad ____", "influence"
"better ____ dead", "off"
"beverly hills ____", "cop"
"big ____ in little china", "trouble"
"bill and ted's ____ adventure", "excellent"
"Bill Murray, post-SNL, pre-Groundhog. Think spaghetti", "Meatballs"
"bill murray, post-snl, pre-groundhog", "meatballs"
"Billy Crystal movie that MGM called "Beverly Hills Cop in Chicago"", "running scared"
"black ____", "rain"
"blue ____", "lagoon"
"blue ____", "velvet"
"body ____", "double"
"brotherhood of ____", "justice"
"bull ____", "durham"
"buy schwarzenegger, get devito for free", "twins"
"can't buy ____ love", "me"
"cher's got him, babe, and he's got a face", "mask"
"Christian Slater and Winona Ryder hate school. Pass it on", "Heathers"
"christian slater and winona ryder hate school", "heathers"
"class of ____", "1984"
"come toward the light, carol anne~~~", "poltergeist"
"Country that is the setting for Yentl", "poland"
"crocodile ____", "dundee"
"cruise, penn and hutton play army", "taps"
"cult classic among little people", "willow"
"dangerous ____", "liaisons"
"dead ____ don't wear plaid", "men"
"dead ____", "zone"
"dead ____society", "poets"
"dirty ____", "dancing"
"dirty rotten ____", "scoundrels"
"don't tell ____ it's me", "her"
"dreyfus, estevez, o'donnell, can you believe they made a sequel too", "stakeout"
"driving miss ____", "daisy"
"earth ____ are easy", "girls"
"eddie and the ____", "cruisers"
"edward ____", "scissorhands"
"elvira, ____ of the dark", "mistress"
"escape from ____", "new york"
"everybody's ____", "all-american"
"f/____", "x"
"family ____", "business"
"Family Ties-er who appeared in the short lived series, Palmerstown, USA", "michael j fox"
"fast times at ____ high", "ridgemont"
"fatal ____", "attraction"
"Featured the lines "I was born to love you. I was born to lick your face."", "caddyshack"
"ferris ____ day off", "bueller's"
"Firefox was what type of aircraft in the 1982 film of the same name", "Supersonic fighter aircraft"
"first ____", "blood"
"flight of the ____", "navigator"
"foot____", "loose"
"for ____", "keeps"
"for your ____ only", "eyes"
"franken____", "weenie"
"fresh ____", "horses"
"from the ____", "hip"
"go directly to brando. do not pass reeve, do not collect lois lane", "superman"
"golden ____", "child"
"guy really gets into playing videogames", "tron"
"hair____", "spray"
"hannibal lecter, chapter one", "manhunter"
"harrison ford stars in love, amish style", "witness"
"He co-anchored the NBC Nightly News before Brokaw went solo", "roger mudd"
"heart of ____", "dixie"
"hiding ____", "out"
"high____", "lander"
"Hmm. Let's make Chevy Chase a spy!", "Fletch"
"house by the ____", "cemetary"
"house of ____", "games"
"How long was Ripley in hibernation (in "Alien"/"Aliens")", "57 years"
"I feel the earth. Move. Under my feet", "Tremors"
"I've given a name to my pain", "Batman"
"igor and the ____", "lunatics"
"In 1980 film starring Robert Redford about a reformist prison warder trying to clean up his prison", "Brubaker"
"In 1980, Angela Lansbury starred in this movie", "the mirror crack'd"
"In 1980, Anthony Hopkins starred in this movie", "a change of seasons"
"In 1980, Anthony Hopkins starred in this movie", "the elephant man"
"In 1980, Arnold Schwarzenegger starred in this movie", "the jayne mansfield story"
"In 1980, Bette Midler starred in this movie", "divine madness"
"In 1980, Bruce Willis starred in this movie", "the first deadly sin"
"In 1980, Christopher Reeve starred in this movie", "somewhere in time"
"In 1980, Drew Barrymore starred in this movie", "altered states"
"In 1980, Elizabeth Taylor starred in this movie", "the mirror crack'd"
"In 1980, goldie hawn starred in this movie", "private benjamin"
"In 1980, goldie hawn starred in this movie", "seems like old times"
"In 1980, Harrison Ford starred in this movie", "the empire strikes back"
"In 1980, James Woods starred in this movie", "the black marble"
"In 1980, Jamie Lee Curtis starred in this movie", "prom night"
"In 1980, Jamie Lee Curtis starred in this movie", "terror train"
"In 1980, Jamie Lee Curtis starred in this movie", "the fog"
"In 1980, Jane Fonda starred in this movie", "no nukes"
"In 1980, Jeff Bridges starred in this movie", "heaven's gate"
"In 1980, Jodie Foster starred in this movie", "carny"
"In 1980, Jodie Foster starred in this movie", "foxes"
"In 1980, John Travolta starred in this movie", "urban cowboy"
"In 1980, Julie Andrews starred in this movie", "little miss marker"
"In 1980, Kevin Bacon starred in this movie", "friday the 13th"
"In 1980, Kevin Bacon starred in this movie", "hero at large"
"In 1980, kurt russell starred in this movie", "amber waves"
"In 1980, kurt russell starred in this movie", "used cars"
"In 1980, Marlon Brando starred in this movie", "the formula"
"In 1980, Mel Gibson starred in this movie", "attack force z"
"In 1980, Mel Gibson starred in this movie", "mad max"
"In 1980, Michael Caine starred in this movie", "dressed to kill"
"In 1980, Michael Caine starred in this movie", "the island"
"In 1980, Michael Douglas starred in this movie", "it's my turn"
"In 1980, Michael Douglas starred in this movie", "tell me a riddle"
"In 1980, Michelle Pfeiffer starred in this movie", "falling in love again"
"In 1980, Michelle Pfeiffer starred in this movie", "hollywood knights"
"In 1980, Michelle Pfeiffer starred in this movie", "the hollywood knights"
"In 1980, Pierce Brosnan starred in this movie", "the mirror crack'd"
"In 1980, Richard Gere starred in this movie", "american gigolo"
"In 1980, Robert De Niro starred in this movie", "raging bull"
"In 1980, Robin Williams starred in this movie", "children of babylon"
"In 1980, Robin Williams starred in this movie", "popeye"
"In 1980, Sally Field starred in this movie", "smokey and the bandit ii"
"In 1980, Sharon Stone starred in this movie", "stardust memories"
"In 1980, Shirley MacLaine starred in this movie", "a change of seasons"
"In 1980, Shirley MacLaine starred in this movie", "loving couples"
"In 1980, Susan Sarandon starred in this movie", "atlantic city"
"In 1980, Susan Sarandon starred in this movie", "loving couples"
"In 1980, Tommy Lee Jones starred in this movie", "barn burning"
"In 1980, Tommy Lee Jones starred in this movie", "coal miner's daughter"
"In 1980, Woody Allen starred in this movie", "stardust memories"
"In 1981 steamy flick that gave Kathleen Turner her first starring role", "body heat"
"In 1981, Anthony Hopkins starred in this movie", "the bunker"
"In 1981, Audrey Hepburn starred in this movie", "they all laughed"
"In 1981, Barbra Streisand starred in this movie", "all night long"
"In 1981, Christopher Reeve starred in this movie", "superman ii"
"In 1981, Dan Akroyd starred in this movie", "neighbors"
"In 1981, Demi Moore starred in this movie", "choices"
"In 1981, Denzel Washington starred in this movie", "carbon copy"
"In 1981, Gene Hackman starred in this movie", "all night long"
"In 1981, Gene Hackman starred in this movie", "eureka"
"In 1981, Gene Hackman starred in this movie", "reds"
"In 1981, Gene Hackman starred in this movie", "superman ii"
"In 1981, Harrison Ford starred in this movie", "raiders of the lost ark"
"In 1981, James Woods starred in this movie", "eyewitness"
"In 1981, Jamie Lee Curtis starred in this movie", "halloween ii"
"In 1981, Jamie Lee Curtis starred in this movie", "road games"
"In 1981, Jane Fonda starred in this movie", "on golden pond"
"In 1981, Jane Fonda starred in this movie", "rollover"
"In 1981, John Travolta starred in this movie", "blow out"
"In 1981, Julie Andrews starred in this movie", "S.O.B."
"In 1981, Katharine Hepburn starred in this movie", "on golden pond"
"In 1981, Kevin Bacon starred in this movie", "only when i laugh"
"In 1981, Kevin Costner starred in this movie", "shadows run black"
"In 1981, Kirstie Alley starred in this movie", "one more chance"
"In 1981, kurt russell starred in this movie", "escape from new york"
"In 1981, Lauren Bacall starred in this movie", "the fan"
"In 1981, Meg Ryan starred in this movie", "rich and famous"
"In 1981, Mel Gibson starred in this movie", "gallipoli"
"In 1981, Melanie Griffith starred in this movie", "roar"
"In 1981, Melanie Griffith starred in this movie", "she's in the army now"
"In 1981, Melanie Griffith starred in this movie", "the star maker"
"In 1981, Meryl Streep starred in this movie", "the french lieutenant's woman"
"In 1981, Michael Caine starred in this movie", "the hand"
"In 1981, Michelle Pfeiffer starred in this movie", "callie and son"
"In 1981, Michelle Pfeiffer starred in this movie", "splendor in the grass"
"In 1981, Robert De Niro starred in this movie", "true confessions"
"In 1981, Sally Field starred in this movie", "absence of malice"
"In 1981, Sally Field starred in this movie", "back roads"
"In 1981, Sean Connery starred in this movie", "outland"
"In 1981, Sean Connery starred in this movie", "time bandits"
"In 1981, Sharon Stone starred in this movie", "deadly blessing"
"In 1981, Sigourney Weaver starred in this movie", "eyewitness"
"In 1981, Sylvester Stallone starred in this movie", "nighthawks"
"In 1981, Tom Cruise starred in this movie", "endless love"
"In 1981, Tom Cruise starred in this movie", "taps"
"In 1981, Tom Hanks starred in this movie", "he knows you're alone"
"In 1981, Tommy Lee Jones starred in this movie", "back roads"
"In 1982, Angelina Jolie starred in this movie", "lookin' to get out"
"In 1982, Anthony Hopkins starred in this movie", "the hunchback of notre dame"
"In 1982, Arnold Schwarzenegger starred in this movie", "conan the barbarian"
"In 1982, Arnold Schwarzenegger starred in this movie", "shape up with arnold"
"In 1982, Bette Midler starred in this movie", "jinxed"
"In 1982, Bruce Willis starred in this movie", "the verdict"
"In 1982, Christopher Reeve starred in this movie", "deathtrap"
"In 1982, Dan Akroyd starred in this movie", "it came from hollywood"
"In 1982, Demi Moore starred in this movie", "parasite"
"In 1982, Demi Moore starred in this movie", "young doctors in love"
"In 1982, Dustin Hoffman starred in this movie", "tootsie"
"In 1982, George Clooney starred in this movie", "and they're off"
"In 1982, goldie hawn starred in this movie", "best friends"
"In 1982, Harrison Ford starred in this movie", "blade runner"
"In 1982, Hugh Grant starred in this movie", "privileged"
"In 1982, Ingrid Bergman starred in this movie", "a woman called golda"
"In 1982, James Woods starred in this movie", "fast walking"
"In 1982, James Woods starred in this movie", "split image"
"In 1982, Jeff Bridges starred in this movie", "kiss me goodbye"
"In 1982, Jeff Bridges starred in this movie", "tron"
"In 1982, Jodie Foster starred in this movie", "o'hara's wife"
"In 1982, Julie Andrews starred in this movie", "victor/victoria"
"In 1982, Kevin Bacon starred in this movie", "diner"
"In 1982, Kevin Costner starred in this movie", "chasing dreams"
"In 1982, Kevin Costner starred in this movie", "frances"
"In 1982, Kevin Costner starred in this movie", "night shift"
"In 1982, Kevin Costner starred in this movie", "table for five"
"In 1982, Mel Gibson starred in this movie", "the road warrior"
"In 1982, Meryl Streep starred in this movie", "sophie's choice"
"In 1982, Meryl Streep starred in this movie", "still of the night"
"In 1982, Michael Caine starred in this movie", "deathtrap"
"In 1982, Michael Keaton starred in this movie", "night shift"
"In 1982, Michelle Pfeiffer starred in this movie", "grease 2"
"In 1982, Nicolas Cage starred in this movie", "fast times at ridgemont high"
"In 1982, Raquel Welch starred in this movie", "the legend of walks far woman"
"In 1982, Richard Gere starred in this movie", "an officer and a gentleman"
"In 1982, Robin Williams starred in this movie", "the world according to garp"
"In 1982, Sally Field starred in this movie", "kiss me goodbye"
"In 1982, Sean Connery starred in this movie", "five days one summer"
"In 1982, Sean Connery starred in this movie", "gole!"
"In 1982, Sharon Stone starred in this movie", "bolero"
"In 1982, Susan Sarandon starred in this movie", "tempest"
"In 1982, Susan Sarandon starred in this movie", "who am i this time?"
"In 1982, Sylvester Stallone starred in this movie", "first blood"
"In 1982, Sylvester Stallone starred in this movie", "rocky iii"
"In 1982, Tom Cruise starred in this movie", "losin' it"
"In 1982, Tom Hanks starred in this movie", "rona jaffe's mazes and monsters"
"In 1982, Woody Allen starred in this movie", "a midsummer night's sex comedy"
"In 1983 film that brings Jeff Goldblum, Glenn Close, and William Hurt together", "the big chill"
"In 1983 flick that has Chuck Norris as a Texas Ranger out to get David Carradine", "lone wolf mcquade"
"In 1983, Angela Lansbury starred in this movie", "pirates of penzance"
"In 1983, Barbra Streisand starred in this movie", "yentl"
"In 1983, Christopher Reeve starred in this movie", "monsignor"
"In 1983, Christopher Reeve starred in this movie", "superman iii"
"In 1983, Dan Akroyd starred in this movie", "doctor detroit"
"In 1983, Dan Akroyd starred in this movie", "trading places"
"In 1983, Eddie Murphy starred in this movie", "trading places"
"In 1983, Elizabeth Taylor starred in this movie", "between friends"
"In 1983, Gene Hackman starred in this movie", "uncommon valor"
"In 1983, Gene Hackman starred in this movie", "under fire"
"In 1983, Harrison Ford starred in this movie", "return of the jedi"
"In 1983, James Woods starred in this movie", "videodrome"
"In 1983, Jodie Foster starred in this movie", "svengali"
"In 1983, John Travolta starred in this movie", "staying alive"
"In 1983, John Travolta starred in this movie", "two of a kind"
"In 1983, Julie Andrews starred in this movie", "the man who loved women"
"In 1983, Kevin Bacon starred in this movie", "the demon murder case"
"In 1983, Kevin Costner starred in this movie", "stacy's knights"
"In 1983, Kevin Costner starred in this movie", "testament"
"In 1983, Kevin Costner starred in this movie", "the gunrunner"
"In 1983, Kirstie Alley starred in this movie", "champions"
"In 1983, kurt russell starred in this movie", "silkwood"
"In 1983, kurt russell starred in this movie", "the thing"
"In 1983, Mel Gibson starred in this movie", "the year of living dangerously"
"In 1983, Meryl Streep starred in this movie", "silkwood"
"In 1983, Michael Caine starred in this movie", "educating rita"
"In 1983, Michael Douglas starred in this movie", "the star chamber"
"In 1983, Michael Keaton starred in this movie", "mr. mom"
"In 1983, Michelle Pfeiffer starred in this movie", "scarface"
"In 1983, Nicolas Cage starred in this movie", "rumble fish"
"In 1983, Nicolas Cage starred in this movie", "valley girl"
"In 1983, Nicole Kidman starred in this movie", "bmx bandits"
"In 1983, Richard Gere starred in this movie", "breathless"
"In 1983, Robert De Niro starred in this movie", "the king of comedy"
"In 1983, Robin Williams starred in this movie", "an evening with robin williams"
"In 1983, Robin Williams starred in this movie", "the survivors"
"In 1983, Sean Connery starred in this movie", "never say never again"
"In 1983, Shirley MacLaine starred in this movie", "terms of endearment"
"In 1983, Sigourney Weaver starred in this movie", "deal of the century"
"In 1983, Sigourney Weaver starred in this movie", "the year of living dangerously"
"In 1983, Susan Sarandon starred in this movie", "the hunger"
"In 1983, Sylvester Stallone starred in this movie", "staying alive"
"In 1983, Tom Cruise starred in this movie", "all the right moves"
"In 1983, Tom Cruise starred in this movie", "risky business"
"In 1983, Tom Cruise starred in this movie", "the outsiders"
"In 1983, Tommy Lee Jones starred in this movie", "nate and hayes"
"In 1983, Woody Allen starred in this movie", "zelig"
"In 1984 murder in the military movie produced and directed by Norman Jewison", "a soldiers story"
"In 1984 Woody Allen film with guest appearance by Howard Cosell", "broadway danny rose"
"In 1984, Alec Baldwin starred in this movie", "sweet revenge"
"In 1984, Angela Lansbury starred in this movie", "lace"
"In 1984, Anthony Hopkins starred in this movie", "a married man"
"In 1984, Anthony Hopkins starred in this movie", "the bounty"
"In 1984, Arnold Schwarzenegger starred in this movie", "conan the destroyer"
"In 1984, Arnold Schwarzenegger starred in this movie", "the terminator"
"In 1984, Christopher Reeve starred in this movie", "the bostonians"
"In 1984, Dan Akroyd starred in this movie", "ghostbusters"
"In 1984, Dan Akroyd starred in this movie", "indiana jones and the temple of doom"
"In 1984, Dan Akroyd starred in this movie", "nothing lasts forever"
"In 1984, Demi Moore starred in this movie", "blame it on rio"
"In 1984, Denzel Washington starred in this movie", "a soldier's story"
"In 1984, Drew Barrymore starred in this movie", "firestarter"
"In 1984, Drew Barrymore starred in this movie", "irreconcilable differences"
"In 1984, Eddie Murphy starred in this movie", "best defense"
"In 1984, Eddie Murphy starred in this movie", "beverly hills cop"
"In 1984, Gene Hackman starred in this movie", "misunderstood"
"In 1984, goldie hawn starred in this movie", "protocol"
"In 1984, goldie hawn starred in this movie", "swing shift"
"In 1984, Harrison Ford starred in this movie", "indiana jones and the temple of doom"
"In 1984, James Woods starred in this movie", "against all odds"
"In 1984, James Woods starred in this movie", "dodd"
"In 1984, James Woods starred in this movie", "once upon a time in america"
"In 1984, Jamie Lee Curtis starred in this movie", "love letters"
"In 1984, Jane Fonda starred in this movie", "the dollmaker"
"In 1984, Jeff Bridges starred in this movie", "against all odds"
"In 1984, Jeff Bridges starred in this movie", "starman"
"In 1984, Jodie Foster starred in this movie", "hotel new hampshire"
"In 1984, Jodie Foster starred in this movie", "the blood of others"
"In 1984, Jodie Foster starred in this movie", "the hotel new hampshire"
"In 1984, Kevin Bacon starred in this movie", "footloose"
"In 1984, Kirstie Alley starred in this movie", "blind date"
"In 1984, Kirstie Alley starred in this movie", "runaway"
"In 1984, kurt russell starred in this movie", "swing shift"
"In 1984, Mel Gibson starred in this movie", "mrs. soffel"
"In 1984, Mel Gibson starred in this movie", "the bounty"
"In 1984, Mel Gibson starred in this movie", "the river"
"In 1984, Melanie Griffith starred in this movie", "body double"
"In 1984, Meryl Streep starred in this movie", "falling in love"
"In 1984, Michael Caine starred in this movie", "blame it on rio"
"In 1984, Michael Caine starred in this movie", "the jigsaw man"
"In 1984, Michael Douglas starred in this movie", "romancing the stone"
"In 1984, Michael Keaton starred in this movie", "johnny dangerously"
"In 1984, Nicolas Cage starred in this movie", "birdy"
"In 1984, Nicolas Cage starred in this movie", "racing with the moon"
"In 1984, Nicolas Cage starred in this movie", "the cotton club"
"In 1984, Richard Gere starred in this movie", "the cotton club"
"In 1984, Robert De Niro starred in this movie", "falling in love"
"In 1984, Robert De Niro starred in this movie", "once upon a time in america"
"In 1984, Robin Williams starred in this movie", "moscow on the hudson"
"In 1984, Sally Field starred in this movie", "places in the heart"
"In 1984, Sarah Jessica Parker starred in this movie", "footloose"
"In 1984, Sarah Michelle Gellar starred in this movie", "over the brooklyn bridge"
"In 1984, Sean Connery starred in this movie", "sword of the valiant"
"In 1984, Sharon Stone starred in this movie", "irreconcilable differences"
"In 1984, Sharon Stone starred in this movie", "the calendar girl murders"
"In 1984, Sharon Stone starred in this movie", "the vegas strip wars"
"In 1984, Shirley MacLaine starred in this movie", "cannonball run ii"
"In 1984, Sigourney Weaver starred in this movie", "ghostbusters"
"In 1984, Susan Sarandon starred in this movie", "he'll see you now"
"In 1984, Susan Sarandon starred in this movie", "the buddy system"
"In 1984, Sylvester Stallone starred in this movie", "rhinestone"
"In 1984, Tom Hanks starred in this movie", "bachelor party"
"In 1984, Tom Hanks starred in this movie", "splash"
"In 1984, Tommy Lee Jones starred in this movie", "the river rat"
"In 1985 film that casts Sean Penn and Timothy Hutton as spies", "the falcon and the snowman"
"In 1985 film that opens with "He even took gramophone on safari!"", "out of africa"
"In 1985, Alec Baldwin starred in this movie", "love on the run"
"In 1985, Angela Lansbury starred in this movie", "ingrid"
"In 1985, Angela Lansbury starred in this movie", "the company of wolves"
"In 1985, Anthony Hopkins starred in this movie", "arch of triumph"
"In 1985, Anthony Hopkins starred in this movie", "guilty conscience"
"In 1985, Anthony Hopkins starred in this movie", "mussolini & i"
"In 1985, Arnold Schwarzenegger starred in this movie", "commando"
"In 1985, Arnold Schwarzenegger starred in this movie", "red sonja"
"In 1985, Bruce Willis starred in this movie", "moonlighting"
"In 1985, Christopher Reeve starred in this movie", "anna karenina"
"In 1985, Christopher Reeve starred in this movie", "the aviator"
"In 1985, Dan Akroyd starred in this movie", "into the night"
"In 1985, Dan Akroyd starred in this movie", "spies like us"
"In 1985, Demi Moore starred in this movie", "no small affair"
"In 1985, Demi Moore starred in this movie", "st. elmo's fire"
"In 1985, Drew Barrymore starred in this movie", "cat's eye"
"In 1985, Dustin Hoffman starred in this movie", "death of a salesman"
"In 1985, Elizabeth Taylor starred in this movie", "malice in wonderland"
"In 1985, Gene Hackman starred in this movie", "target"
"In 1985, Gene Hackman starred in this movie", "twice in a lifetime"
"In 1985, Harrison Ford starred in this movie", "witness"
"In 1985, James Woods starred in this movie", "badge of the assassin"
"In 1985, James Woods starred in this movie", "cat's eye"
"In 1985, James Woods starred in this movie", "joshua then and now"
"In 1985, Jamie Lee Curtis starred in this movie", "perfect"
"In 1985, Jane Fonda starred in this movie", "agnes of god"
"In 1985, Jeff Bridges starred in this movie", "jagged edge"
"In 1985, Jodie Foster starred in this movie", "mesmerized"
"In 1985, John Travolta starred in this movie", "perfect"
"In 1985, Katharine Hepburn starred in this movie", "grace quigley"
"In 1985, Kevin Bacon starred in this movie", "enormous changes at the last minute"
"In 1985, Kevin Costner starred in this movie", "american flyers"
"In 1985, Kevin Costner starred in this movie", "fandango"
"In 1985, Kevin Costner starred in this movie", "silverado"
"In 1985, kurt russell starred in this movie", "the mean season"
"In 1985, Lucille Ball starred in this movie", "stone pillow"
"In 1985, Melanie Griffith starred in this movie", "alfred hitchcock presents"
"In 1985, Melanie Griffith starred in this movie", "fear city"
"In 1985, Meryl Streep starred in this movie", "out of africa"
"In 1985, Meryl Streep starred in this movie", "plenty"
"In 1985, Michael Caine starred in this movie", "the holcroft covenant"
"In 1985, Michael Caine starred in this movie", "water"
"In 1985, Michael Douglas starred in this movie", "the jewel of the nile"
"In 1985, Michelle Pfeiffer starred in this movie", "into the night"
"In 1985, Michelle Pfeiffer starred in this movie", "ladyhawke"
"In 1985, Nicole Kidman starred in this movie", "archer's adventure"
"In 1985, Nicole Kidman starred in this movie", "room to move"
"In 1985, Nicole Kidman starred in this movie", "the wacky world of wills and burke"
"In 1985, Nicole Kidman starred in this movie", "wills and burke"
"In 1985, Richard Gere starred in this movie", "king david"
"In 1985, Robert De Niro starred in this movie", "brazil"
"In 1985, Sally Field starred in this movie", "murphy's romance"
"In 1985, Sarah Jessica Parker starred in this movie", "girls just want to have fun"
"In 1985, Sharon Stone starred in this movie", "king solomon's mines"
"In 1985, Susan Sarandon starred in this movie", "compromising positions"
"In 1985, Susan Sarandon starred in this movie", "mussolini & i"
"In 1985, Sylvester Stallone starred in this movie", "rocky iv"
"In 1985, Tom Cruise starred in this movie", "legend"
"In 1985, Tom Hanks starred in this movie", "the man with one red shoe"
"In 1985, Tom Hanks starred in this movie", "volunteers"
"In 1985, Woody Allen starred in this movie", "the purple rose of cairo"
"In 1986 semi-adaptation of "Boudo Saved From Drowning"", "down and out in beverly hills"
"In 1986, Alec Baldwin starred in this movie", "dress gray"
"In 1986, Anthony Hopkins starred in this movie", "the good father"
"In 1986, Arnold Schwarzenegger starred in this movie", "raw deal"
"In 1986, Audrey Hepburn starred in this movie", "directed by william wyler"
"In 1986, Bette Midler starred in this movie", "down and out in beverly hills"
"In 1986, Bette Midler starred in this movie", "ruthless people"
"In 1986, Dan Akroyd starred in this movie", "comedy music videos"
"In 1986, Demi Moore starred in this movie", "About Last Night . . ."
"In 1986, Demi Moore starred in this movie", "one crazy summer"
"In 1986, Demi Moore starred in this movie", "wisdom"
"In 1986, Denzel Washington starred in this movie", "power"
"In 1986, Denzel Washington starred in this movie", "the george mckenna story"
"In 1986, Drew Barrymore starred in this movie", "babes in toyland"
"In 1986, Eddie Murphy starred in this movie", "the golden child"
"In 1986, Elizabeth Taylor starred in this movie", "there must be a pony"
"In 1986, Gene Hackman starred in this movie", "hoosiers"
"In 1986, Gene Hackman starred in this movie", "power"
"In 1986, goldie hawn starred in this movie", "wildcats"
"In 1986, Harrison Ford starred in this movie", "the mosquito coast"
"In 1986, James Woods starred in this movie", "promise"
"In 1986, James Woods starred in this movie", "salvador"
"In 1986, Jane Fonda starred in this movie", "the morning after"
"In 1986, Jeff Bridges starred in this movie", "the morning after"
"In 1986, Jennifer Lopez starred in this movie", "my little girl"
"In 1986, Julie Andrews starred in this movie", "that's life"
"In 1986, Katharine Hepburn starred in this movie", "mrs. delafield wants to marry"
"In 1986, Kevin Bacon starred in this movie", "quicksilver"
"In 1986, kurt russell starred in this movie", "big trouble in little china"
"In 1986, kurt russell starred in this movie", "the best of times"
"In 1986, Lauren Holly starred in this movie", "band of the hand"
"In 1986, Meg Ryan starred in this movie", "armed and dangerous"
"In 1986, Meg Ryan starred in this movie", "top gun"
"In 1986, Melanie Griffith starred in this movie", "something wild"
"In 1986, Meryl Streep starred in this movie", "heartburn"
"In 1986, Michael Caine starred in this movie", "half moon street"
"In 1986, Michael Caine starred in this movie", "hannah and her sisters"
"In 1986, Michael Caine starred in this movie", "mona lisa"
"In 1986, Michael Caine starred in this movie", "sweet liberty"
"In 1986, Michael Keaton starred in this movie", "gung ho"
"In 1986, Michael Keaton starred in this movie", "touch and go"
"In 1986, Michelle Pfeiffer starred in this movie", "sweet liberty"
"In 1986, Nicolas Cage starred in this movie", "peggy sue got married"
"In 1986, Nicolas Cage starred in this movie", "the boy in blue"
"In 1986, Nicole Kidman starred in this movie", "archer"
"In 1986, Nicole Kidman starred in this movie", "windrider"
