"ambassador of love", "cabbage rose"
"anticipation", "gooseberry"
"anxious and trembling", "red columbine"
"appointed meeting", "everlasting pea"
"ardent love", "balsam"
"argument", "fig"
"artifice", "acanthus"
"assiduous to please", "sprig of ivy with tendrills"
"assignation", "pimpernel"
"attachment", "indian jasmine"
"audacity", "larch"
"austerity", "common thistle"
"avarice", "scarlet auricula"
"aversion", "indian single pink"
"bantering", "southernwood"
"bashful shame", "deep red rose"
"bashfulness", "peony"
"be mine", "four-leaved clover"
"beautiful eyes", "variegated tulip"
"beauty always new", "china rose"
"beauty and prosperity", "red-leaved rose"
"belief", "passion-flower"
"belle", "orchis"
"benevolence", "potato flower"
"betrayal", "judas tere"
"beware of excess", "saffron"
"blackness", "ebony"
"bluntness", "borage"
"blushes", "marjoram"
"boaster", "hydrangea"
"boldness", "pink"
"bonds of affection", "gillyflower"
"bonds", "convolvulus"
"bravery", "oak leaves "
"bury me amid nature's beauties", "persimmon"
"call me not beautiful", "unique rose"
"change", "pimpernel"
"changeable disposition", "rye grass"
"charity", "turnip"
"charming", "cluster of musk roses"
"chaste love", "acacia"
"cheerfullness in old age", "american starwort"
"cheerfulness under adversity", "chrysanthemum"
"childishness", "buttercup"
"chivalry", "great yellow daffodil"
"cleanliness", "hyssop"
"coldheartedness", "lettuce"
"color of my life", "coral honeysuckle"
"come down", "jacob's ladder"
"comforting", "scarlet geranium"
"compassion", "allspice"
"concealed love", "motherwort"
"concealed merit", "coriander"
"confession of love", "moss rosebud"
"confidence", "lilac polyanthus"
"conjugal love", "lime"
"consolation", "red poppy"
"cordiality", "peppermint"
"counterfeit", "mock orange"
"crime", "tamarisk"
"criticism", "cucumber"
"cure", "balm of gilead"
"curiosity", "sycamore"
"dangerous pleasures", "tuberose"
"dauntlessness", "sea lavendar"
"death preferrable to loss of innocence", "white rose"
"death", "cypress"
"deceitful chams", "thorn-apple"
"deception", "white cherry"
"declaration of love", "red tulip"
"dejection", "lichen"
"delay", "eupatorium"
"delicacy", "cornflower"
"delicate beauty", "hibiscus"
"departure", "sweet pea"
"despair", "cypress and marigold"
"devotion", "heliotrope"
"difficulties that i surmount", "mistletoe"
"disappointment", "carolina syringa"
"distinction", "cardinal flower"
"distrust", "lavender"
"divine beauty", "american cowslip"
"do me justice", "sweet chestnut tree"
"do not abuse", "saffron"
"domestic industry", "flax"
"early attachment", "thornless rose"
"early friendship", "blue periwinkle"
"early youth", "primrose"
"education", "cherry tree"
"elegance and grace", "yellow jasmine"
"elevation", "scotch fir"
"enchantment", "holly herb"
"enduring affection", "gorse"
"energy in adversity", "camomile"
"esteem and love", "strawberry tree"
"esteem but not love", "spiderwort"
"esteem", "garden sage"
"estranged love", "lotus flower"
"evanescent pleasure", "poppy"
"lasting beauty", "stock"
"mature elegance", "pomegranate flower"
"menatl beauty", "clematis"
"pensive beauty", "laburnum"
"rustic beauty", "french honeysuckle"
"unconscious beauty", "burgundy rose"
"unfading beauty", "gillyflower"
