"(In French and In German) - Same as mass", "messe"
"(In Italian) - Dying away (of force and sometimes, speed)", "morendo"
"(In Italian) - Dying away", "smorzando"
"(In Italian) - English", "inglese"
"(In Italian) - Fast and light", "volante"
"(In Italian) - Fast. In Mozart's music this means as fast as possible", "presto"
"(In Italian) - Fire", "fuoco"
"(In Italian) - First time", "prima volta"
"(In Italian) - First. (1) Upper part of a piano duet, the lower part being termed sccondo; (2) The first of two or more performers (e.g. violino primo means first violin). (3) Tempo primo indicates that the original speed is to be resumed", "primo"
"(In Italian) - First", "primo"
"(In Italian) - Force", "forza"
"(In Italian) - Freedom, licence. Con akune licenze, with some freedom in style", "licenza"
"(In Italian) - Funeral. March funebre, funeral march", "funebre"
"(In Italian) - Gay", "gaio"
"(In Italian) - Generally this term means 'all the players' (e.g. in a concerto). The expression is used when the orchestra is playing without the soloist. In choral works tutti means chorus as opposed to soloists, or full chorus as opposed to semi-chorus", "tutti"
"(In Italian) - Generally, an instrumental composition in which one section recurs at certain times. By the 18th century, a standard pattern had developed as A B A C A D A, etc. appearing as the last movement of a sonata or concerto. The recurring theme A is called the rondo theme and B C D, etc. represent the contrasting sections known as episodes. However, A can be varied. The combination of sonata form and rondo resulted in sonata rondo which was much used by Mozart and Beethoven", "rondo"
"(In Italian) - Gentle, delicate", "morbido"
"(In Italian) - Getting gradually louder", "crescendo"
"(In Italian) - Getting slower", "rallentando"
"(In Italian) - Graceful", "garbato"
"(In Italian) - Gradually becoming softer. See decrescendo", "diminuendo"
"(In Italian) - Grandeur", "grandezza"
"(In Italian) - Half", "meta"
"(In Italian) - Haydn and Mozart's preferred title to concerto for an orchestral work with more than one solo parts", "sinfonia concertante"
"(In Italian) - Heavy, ponderous", "pesante"
"(In Italian) - Held back (tempo). Sometimes used as an equivalent of ritardando", "ritenuto"
"(In Italian) - Humour. Con umore, with humour", "umore"
"(In Italian) - Impetuously", "precipitato"
"(In Italian) - In a pompous manner", "pomposo"
"(In Italian) - In a resolute manner", "risoluto"
"(In Italian) - In an imposing manner", "grandioso"
"(In Italian) - In the old concerto grosso, the ripieno indicates the full body of performers as opposed to the solo group (concertino). Scnza ripieni indicates that the first desks only of the accompanying orchestra are to play", "ripieno"
"(In Italian) - In the style of gypsy music", "zingarese"
"(In Italian) - In the style or manner of", "in modo di"
"(In Italian) - In the Turkish style", "turca"
"(In Italian) - Incisive", "inciso"
"(In Italian) - Indication to pianist to release the left-hand pedal", "tutte le corde"
"(In Italian) - Indication to pianists that the left (soft) pedal is to be released", "tre corde"
"(In Italian) - Indication to pianists to use the left (soft) pedal to reduce the volume", "una corda"
"(In Italian) - Indication to pluck notes on a bowed string instrument. Abbreviation pizz", "pizzicato"
"(In Italian) - Labouring, holding back on each note", "stentando"
"(In Italian) - Left hand", "sinistra"
"(In Italian) - Less", "meno"
"(In Italian) - Light, lightly", "leggiero"
"(In Italian) - Lively", "vivace"
"(In Italian) - Lively", "vivo"
"(In Italian) - Long", "lungo"
"(In Italian) - Loud. Abbreviated f", "forte"
"(In Italian) - Majestic, dignified", "maestoso"
"(In Italian) - Major", "maggiore"
"(In Italian) - Manner. In modo di, in the manner of", "modo"
"(In Italian) - March. Alla marcia, in a march-like style", "marcia"
"(In Italian) - Marked, emphatic", "marcato"
"(In Italian) - Martial", "marziale"
"(In Italian) - Melancholy", "malinconia"
"(In Italian) - Merry, playful", "giocoso"
"(In Italian) - More. Piu lento, slower", "pi"
"(In Italian) - Mournful", "flebile"
"(In Italian) - Mournful, sad", "lacrimoso"
"(In Italian) - Much, very", "molto"
"(In Italian) - Mute. (1) Of a string or wind instrument, con sordino or con sordini means with mute(s). Senza sordino or senza sordini means without mutes; (2) In piano playing scnza sordini indicates that dampers are to be raised and the performer is to use the sustaining, or right pedal. Alternative and more common term is ped", "sordino"
"(In Italian) - Noisy", "strepitoso"
"(In Italian) - Nothing. A niente, to nothing. Used after a diminuendo symbol to indicate the sound dying away entirely. nobile, nobilmente (In Italian) - Noble, nobly", "niente"
"(In Italian) - Octave. Often written 8ve. All'ottava, at the octave and ottava bassa, an octave lower", "ottava"
"(In Italian) - Or. Indicates an alternative passage (usually a simpler version) in a composition", "ossia"
"(In Italian) - Pause", "fermata"
"(In Italian) - Plaintively", "piangendo"
"(In Italian) - Played by instruments", "stromentato"
"(In Italian) - Playfully, light-hearted", "scherzando"
"(In Italian) - Pleasantly", "piacevole"
"(In Italian) - Pleasing", "gradevole"
"(In Italian) - Point of the bow", "punta d'arco"
"(In Italian) - Precise", "preciso"
"(In Italian) - Quick, rapid", "tosto"
"(In Italian) - Rage", "rabbia"
"(In Italian) - Realism. Particularly applied to Italian opera around 1900 with its violent and contemporary leanings", "verismo"
"(In Italian) - Reinforcing. A sudden strong accent on notes or chords. Similar to sforzando", "rinforzando"
"(In Italian) - Repeat", "replica"
"(In Italian) - Rhythm", "ritmo"
"(In Italian) - Sad", "mesto"
"(In Italian) - Scurrying, rapid", "scorrevole"
"(In Italian) - See polonaise", "polacca"
"(In Italian) - Serious opera and opposite of opera buffa. This term is especially applied to the flourishing 18th century style as used by Rossini. Characterised by the use of castrato singers, heroic or mythological plots, Italian libretti and formality in the music and action", "opera seria"
"(In Italian) - Short fugue", "fughetta"
"(In Italian) - Sign. Dal segno, from the sign. This means the performer must repeat the passage from the appropriate sign", "segno"
"(In Italian) - Simple, simply", "semplice"
"(In Italian) - Singing or speech by an adult male voice in a higher register than normal. It is sometimes used for a comic effect and is used by tenors for notes above their normal range", "falsetto"
"(In Italian) - Slightly, little, rather. Poco crescendo, getting slightly louder. poco a poco, little by little", "poco"
"(In Italian) - Slow and solemn", "grave"
"(In Italian) - Smooth", "spianato"
"(In Italian) - Smoothly", "legato"
"(In Italian) - So much. Allegro non tanto, not too fast", "tanto"
"(In Italian) - Solely", "soltanto"
"(In Italian) - Somewhat, rather", "piuttosto"
"(In Italian) - Spirit, spirited", "spiritoso"
"(In Italian) - Strongly accented. Abbreviated fz", "forzando"
"(In Italian) - Style", "stile"
"(In Italian) - Suddenly", "subito"
"(In Italian) - Sustained, in a smooth manner. The sostenuto pedal on the piano is the middle pedal, only fitted on more expensive instruments. This enables the performer to select notes he wishes to be sustained", "sostenuto"
"(In Italian) - Sustaining", "tenendo"
"(In Italian) - Sweet and gentle", "dolce"
"(In Italian) - Sweetly, tenderly", "soave"
"(In Italian) - Tenderly", "teneramente"
