"Meaning A Breath", "abel"
"Meaning Doors of Cedar", "ariza"
"Meaning Dream, Vision", "ashling"
"Meaning Dream", "aislin"
"Meaning Eager, Noble", "alfonso"
"Meaning Eager, Noble", "alphonse"
"Meaning Eagle Tree", "arvid"
"Meaning Eagle, Ruler, Peace", "aren"
"Meaning Eagle", "arne"
"Meaning East", "anatole"
"Meaning Enchanted", "arien"
"Meaning Enlightened", "arin"
"Meaning Eternal", "amara"
"Meaning Example, Lesson", "abbra"
"Meaning Fair Complected", "alva"
"Meaning Fair, Beautiful", "alana"
"Meaning Faithful", "amana"
"Meaning Fall Season", "autumn"
"Meaning Father of a Multitude", "abe"
"Meaning Father of a Multitude", "abraham"
"Meaning Father of Dew", "avital"
"Meaning Father of Joy", "abbie"
"Meaning Father of Joy", "abby"
"Meaning Father of Joy", "abigail"
"Meaning Father of Light", "abner"
"Meaning Father of Peace", "axelle"
"Meaning Father of the Noble Prince", "adelio"
"Meaning Father or Mother of Many", "abie"
"Meaning Father", "abbott"
"Meaning Father", "abu"
"Meaning Fem. form of ALAN", "alyn"
"Meaning Fem. form of ANTHONY", "antonia"
"Meaning Fem. form of ANTHONY", "antonie"
"Meaning Female Deer", "afra"
"Meaning Fiery One", "aden"
"Meaning Firey", "aidan"
"Meaning First Son", "antranig"
"Meaning Fisherman", "andreas"
"Meaning Flourishing, Praiseworthy", "antoinette"
"Meaning Flower that Never Fades", "amaranta"
"Meaning Flower that Never Fades", "amarante"
"Meaning Flower", "aelan"
"Meaning Flowering Field", "ardice"
"Meaning Flowering Field", "ardith"
"Meaning Flowerlike", "anthea"
"Meaning Forest Water", "amadahy"
"Meaning Forest", "aran"
"Meaning Form of ADELINE", "alina"
"Meaning Form of ALANA", "alanna"
"Meaning Form of ALBERT", "alberto"
"Meaning Form of EILEEN", "aileen"
"Meaning Form of ELIZABETH", "ailish"
"Meaning Form of HELEN", "alena"
"Meaning Form of Richard or Eric", "aric"
"Meaning Friend to All", "arvin"
"Meaning Friend", "ami"
"Meaning Friendship", "amity"
"Meaning From A.J.or Nat.Am name meaning Unconquerable", "ajay"
"Meaning From AGNES", "annice"
"Meaning From AGNES", "annis"
"Meaning From Alsace-Loraine area of France", "alsatia"
"Meaning From ANALIESE", "analise"
"Meaning FROM ANDRA & LYN", "andralyn"
"Meaning From ANGELA", "angie"
"Meaning FROM ANNA & LISA", "analiese"
"Meaning From AUDREY", "audra"
"Meaning FROM AURORA", "aurorette"
"Meaning FROM ELIJAH", "alijah"
"Meaning From LAURA", "alaura"
"Meaning From the Afton River", "afton"
"Meaning From the Apricot", "apria"
"Meaning From the Ash Tree Town", "ashtyn"
"Meaning From the Ash Tree", "ashley"
"Meaning From the East", "anatola"
"Meaning From the name AFRICA", "affrica"
"Meaning From the name ALAN", "allen"
"Meaning From the name ALBERT", "al"
"Meaning From the name ALBERT", "alberta"
"Meaning From the name ALEXANDER", "alastair"
"Meaning From the name ALFRED", "avery"
"Meaning From the name AMENA", "amina"
"Meaning From the name ANDREW", "andres"
"Meaning From the name ANDREW", "andy"
"Meaning From the name ANN", "annissa"
"Meaning From the name ANNA", "ann"
"Meaning From the name ANNA", "anne"
"Meaning From the name ANNA", "anya"
"Meaning From the name ANTONIA", "antionette"
"Meaning From the name ARCHIBALD", "archie"
"Meaning From the name ARIEL", "ari"
"Meaning From the name ARMAND", "armande"
"Meaning From the name ARMAND", "armando"
"Meaning From the name ARNE OR ARNOLD", "arnie"
"Meaning From the name ARTHUR", "artie"
"Meaning From the name ARTHUR", "arty"
"Meaning From the name ASHLEY", "ash"
"Meaning From the name AUGUSTIN", "austin"
"Meaning From the name AUGUSTUS", "august"
"Meaning From the Top of the Tree OR Prince", "amir"
"Meaning Girl Prayed For", "abeni"
"Meaning Goat", "adiel"
"Meaning Goat", "aja"
"Meaning God is Exalted", "athalia"
"Meaning God is My Aid", "azriel"
"Meaning God is my Refuge, Noble", "adalia"
"Meaning God of my People", "amiel"
"Meaning God of the Sun", "apollo"
"Meaning Goddess of Love", "aphrodite"
"Meaning Goddess of the Moon", "artemis"
"Meaning Goddess of Wisdom & War", "athena"
"Meaning Godlike", "amma"
"Meaning Golden", "aurelia"
"Meaning Good", "agatha"
"Meaning Good", "aggie"
"Meaning Grace of God", "anja"
"Meaning Grace, New Moon", "annamika"
"Meaning Graceful", "anais"
"Meaning Gracious & Consecreted to God", "annalise"
"Meaning Gracious", "ana"
"Meaning Gracious", "anita"
"Meaning Gracious", "anitra"
"Meaning Gracious", "anna"
"Meaning Gracious", "annette"
"Meaning Gracious", "annick"
"Meaning Great Champion", "anlon"
"Meaning Great", "abia"
"Meaning Greek God", "adonia"
"Meaning Handsome", "alan"
"Meaning Hard Worker", "amalie"
"Meaning Hardworking", "amalia"
"Meaning Hazel", "aveline"
"Meaning He Laughs", "ahanu"
"Meaning He Who Wins the Struggle", "ajani"
"Meaning Healer", "althea"
"Meaning Heart Sings & Dances", "alima"
"Meaning Heavenly Altar", "aracely"
"Meaning Helper", "aida"
"Meaning High Father", "abram"
"Meaning High, Exalted", "aram"
"Meaning Highly Valued", "azize"
"Meaning Hill", "arlo"
"Meaning Holy", "ariadne"
"Meaning Holy", "ariana"
"Meaning Holy", "ariane"
"Meaning Honest Woman", "amena"
"Meaning Immortal", "amaranth"
"Meaning Immortal", "ambrose"
"Meaning Innocent", "ayanna"
"Meaning Iris", "ayame"
"Meaning Island", "avalon"
"Meaning Joy, Ardent", "aine"
"Meaning Joy, Pleasure", "anisa"
"Meaning Joyful Spring", "aviva"
"Meaning Joyful", "aliza"
"Meaning Just, Fair", "adila"
"Meaning Just, Wise", "adli"
"Meaning Knowledgeable", "arif"
"Meaning Last Daughter", "audi"
"Meaning Life", "aizza"
"Meaning Life", "asha"
"Meaning Life", "ashia"
"Meaning Life", "aysha"
"Meaning Light", "annot"
"Meaning Lightning", "asnee"
"Meaning Like a Bird", "ava"
"Meaning Lioness of God", "ariel"
"Meaning Lioness of God", "ariella"
"Meaning Lioness of God", "arielle"
"Meaning Little Ann", "anneke"
"Meaning Long Lived", "alda"
"Meaning Lord of Mine", "avi"
"Meaning Love of God", "amadeus"
"Meaning Love", "ai"
"Meaning Love", "amorina"
"Meaning Loved One", "asthore"
"Meaning Lovely", "ah"
"Meaning Lover", "amador"
"Meaning Loving, Kind-Hearted", "aloha"
"Meaning Manly Beauty", "appollo"
"Meaning Manly, Courageous", "andre"
"Meaning Manly, Courageous", "andrew"
"Meaning Manly", "analu"
"Meaning Melody", "aria"
"Meaning Mighty Huntress", "atalanta"
"Meaning Mother of Many Nations", "abrianna"
"Meaning My Father is Peace", "absolom"
"Meaning My Lord", "adonai"
"Meaning My Own Meadow", "ainsley"
"Meaning My Witness", "adlai"
"Meaning Night Rain", "amaya"
"Meaning Noble and Serene", "adela"
"Meaning Noble Friend", "alvin"
"Meaning Noble Strength", "audrey"
"Meaning Noble, Adorned", "adina"
"Meaning Noble, Bright", "albert"
"Meaning Noble, Bright", "auberta"
"Meaning Noble, Bright", "aubrey"
"Meaning Noble, Brilliant", "alka"
"Meaning Noble, Descender", "alia"
"Meaning Noble, Exalted", "adair"
"Meaning Noble, Kind", "ada"
"Meaning Noble, Kind", "adelaide"
"Meaning Noble, Kind", "adele"
"Meaning Noble, Kind", "adeline"
"Meaning Noble, Kind", "adelle"
"Meaning Noble, Kind", "ady"
"Meaning Noble, Kind", "ailis"
"Meaning Noble, Strong One", "aubrianna"
"Meaning Noble, Sublime", "ali"
"Meaning Noble", "armina"
"Meaning Of Higher Birth Order", "almira"
"Meaning Of Noble Birth", "alison"
"Meaning Of Noble Birth", "allie"
"Meaning Of Noble Birth", "allison"
"Meaning Of Noble Birth", "allyson"
"Meaning Of Noble Birth", "alyson"
"Meaning Of Noble Birth", "alyssa"
"Meaning Of Old Age", "aldan"
"Meaning Of Old Age", "alden"
"Meaning Of Old Age", "aldon"
"Meaning Of the Army", "armand"
"Meaning Of the Red Earth", "akamu"
"Meaning Old", "aldona"
"Meaning One of Select Birth", "asabi"
"Meaning One to be Honored", "alake"
"Meaning One who Causes Joy", "ayoka"
"Meaning One who charms", "alize"
"Meaning Opening", "abrienda"
"Meaning Opening", "april"
"Meaning Original, Pure", "asli"
"Meaning Outside", "aoko"
"Meaning Past Glory", "azuka"
"Meaning Peace", "an"
"Meaning Peace", "anh"
"Meaning Pillar", "ande"
"Meaning Pleasant", "afric"
"Meaning Pleasant", "africa"
"Meaning Pledge", "arlen"
"Meaning Pledge", "arlene"
"Meaning Pledge", "arlynda"
"Meaning Power", "amandla"
"Meaning Praiseworthy, Flourishing", "antony"
"Meaning Prayer", "atira"
"Meaning Prince", "amiri"
"Meaning Princess", "armelle"
"Meaning Promised by God", "amaris"
"Meaning Protector of Mankind", "alessa"
"Meaning Protector of Mankind", "alex"
"Meaning Protector of Mankind", "alexa"
"Meaning Protector of Mankind", "alexander"
"Meaning Protector of Mankind", "alexandra"
"Meaning Protector of Mankind", "alexis"
"Meaning Protector of Men", "alec"
"Meaning Protector of Men", "alejandro"
"Meaning Pure", "agnes"
"Meaning Pure", "azra"
"Meaning Red Earth", "adem"
"Meaning Resolute", "agamemnon"
"Meaning Resurrection", "anastasia"
"Meaning Resurrection", "asia"
"Meaning Revered, Exalted", "augustin"
"Meaning Revered, Exalted", "augustus"
"Meaning Ruler of Eagles", "arnaud"
"Meaning Shining Star from Heaven", "alohilani"
"Meaning Sky Blu", "azura"
"Meaning Small and Winged", "aleda"
"Meaning Small, winged", "alida"
"Meaning Soft Air, Breeze", "aure"
"Meaning Soft, Gentle", "anana"
"Meaning Son of Adam", "addison"
"Meaning Soul", "alma"
"Meaning Source of all Life", "axel"
"Meaning Sowing the Fields", "arissa"
"Meaning Species of Flowers", "amaryllis"
"Meaning Star", "aster"
"Meaning Star", "astra"
"Meaning Starlike", "astin"
"Meaning Starting Life at Dawn", "asalie"
"Meaning Strong & Courageous", "andra"
"Meaning Strong as an Eagle", "arnold"
"Meaning Sun", "asis"
"Meaning Superior", "anevay"
"Meaning Sweet Gum Tree", "alaqua"
"Meaning The Brightest", "anwar"
"Meaning The Earth", "adam"
"Meaning The Earth", "adamina"
"Meaning The First", "avak"
"Meaning The Oak Tree", "ayla"
"Meaning Thorny", "acacia"
"Meaning To Be Troubled", "amos"
"Meaning To Sing", "aron"
"Meaning To Tie", "avongara"
"Meaning Trustworthy", "aman"
"Meaning Truth, Noble", "alice"
"Meaning Truth, Noble", "alisha"
"Meaning Truth, Noble", "alissa"
"Meaning Truthful One", "aleta"
"Meaning Truthful One", "aletha"
"Meaning Truthful One", "alethea"
"Meaning Truthful", "alicia"
"Meaning Truthful", "alika"
"Meaning Ultimate", "azana"
"Meaning Unique Strength", "angus"
"Meaning Unity, One", "ace"
"Meaning Very Beautiful", "anika"
"Meaning Very Bold", "archibald"
"Meaning Vigilant, Watchful", "argus"
"Meaning Virtuous", "aretha"
"Meaning Vision, Dream", "aisling"
"Meaning Warm", "ardelle"
"Meaning White-Skinned", "albina"
"Meaning White, Fair", "albany"
"Meaning White", "alban"
"Meaning White", "albin"
"Meaning Winged One", "aletta"
"Meaning Wisdom", "akili"
"Meaning With Honor", "annora"
"Meaning Wolf", "adolfo"
"Meaning Wolf", "adolph"
"Meaning Work of the Lord", "amelia"
"Meaning Worl", "alem"
"Meaning Worthy of Love", "amanda"
"Meaning Worthy of Praise", "anthony"
"Meaning Youth", "aviv"
"Meaning Youthful", "atalo"
