"Meaning A Fairy Queen", "tania"
"Meaning From the Thorny Town", "thornton"
"Meaning From THEODORE", "theodora"
"Meaning From Tilden or Matilda", "tilly"
"Meaning From TOM", "teo"
"Meaning From TORRANCE or VICTORIA", "tori"
"Meaning From TORRANCE or VICTORIA", "tory"
"Meaning From Tuesday", "tuesday"
"Meaning From TYRUS & ANNE", "tyanne"
"Meaning Gift of God", "thaddeus"
"Meaning Gift of God", "thea"
"Meaning Gift of God", "totie"
"Meaning God of Battle", "tyra"
"Meaning Goddess of Battle", "tyronica"
"Meaning Good", "tavi"
"Meaning Good", "tobit"
"Meaning Good", "tova"
"Meaning Good", "tovah"
"Meaning Great Joy, Music", "tambre"
"Meaning Greek Letter", "theta"
"Meaning Greenish Blue Color", "teal"
"Meaning Harvester", "tassos"
"Meaning Heart", "tam"
"Meaning Hero", "talli"
"Meaning Hill", "topper"
"Meaning Holy Place", "tibor"
"Meaning Holy Three", "trinity"
"Meaning Horse Rider", "tasida"
"Meaning House Builder", "tyler"
"Meaning House", "ty"
"Meaning Intelligent", "tomo"
"Meaning Island off of Scotland", "tyree"
"Meaning It is Forgotten", "tiassale"
"Meaning Joyful", "thalia"
"Meaning Land of Owen, Young Soldier", "tyrone"
"Meaning Leather Worker", "tannar"
"Meaning Leather Worker", "tanner"
"Meaning Lioness", "tiaret"
"Meaning Little Hill", "tully"
"Meaning Loud Thunder", "taima"
"Meaning Loved One/Lovable", "thandeka"
"Meaning Lover of Nature", "tivona"
"Meaning Lucky", "tadelesh"
"Meaning Maiden, Child", "talitha"
"Meaning Might, Power", "tillie"
"Meaning Mirror Image", "toshi"
"Meaning Mole, Gopher", "topo"
"Meaning Monestary", "taline"
"Meaning Morning Dew", "talia"
"Meaning Mound", "talmai"
"Meaning My Dew", "talen"
"Meaning Myth/Legend", "taru"
"Meaning Mythological Name", "tass"
"Meaning Nation, Tribe", "taifa"
"Meaning Nickname for a Texan", "tex"
"Meaning Nickname for THOMAS", "tip"
"Meaning Noble, Lordly", "tierney"
"Meaning Noblewoman", "trisha"
"Meaning Nursling", "telma"
"Meaning Nursling", "thelma"
"Meaning Of Noble Descent", "trish"
"Meaning Of the Widow", "terweduwe"
"Meaning Of Welsh Origin", "taffy"
"Meaning Pageant", "tamasha"
"Meaning Payment", "tefo"
"Meaning Peach, Long Life", "tao"
"Meaning People", "tamika"
"Meaning Perfect", "tamma"
"Meaning Pet form of THEODORE", "telly"
"Meaning Pleasantness", "tirza"
"Meaning Poet, Philosopher", "tadhg"
"Meaning Princess or Aunt", "tia"
"Meaning Princess, Aunt", "tea"
"Meaning Princess", "tiana"
"Meaning Prudent", "trevor"
"Meaning Queen", "thema"
"Meaning Radiant Brow", "taliesin"
"Meaning Railway Line", "tazara"
"Meaning Respectful of Parents", "thao"
"Meaning Resurrection", "tasya"
"Meaning River", "tyne"
"Meaning Rocky Hill", "taran"
"Meaning Rocky Hill", "tarin"
"Meaning Roof Fixer", "thatcher"
"Meaning Running Water", "tallulah"
"Meaning Sad", "trista"
"Meaning Sad", "tristana"
"Meaning Sad", "tristram"
"Meaning Safe, Secure", "toan"
"Meaning Servant of Thor", "thurman"
"Meaning Short for names ending in TINE", "tina"
"Meaning Silence", "tacy"
"Meaning Silent", "tacita"
"Meaning Slippery", "teleza"
"Meaning Small One", "teenie"
"Meaning Small", "tino"
"Meaning Smooth", "terrene"
"Meaning Snow", "tuyet"
"Meaning Son of TY", "tyson"
"Meaning Star", "tarika"
"Meaning Strong as Iron", "trahern"
"Meaning Strong, Forceful", "taurean"
"Meaning Sunshine, Exhausted", "taban"
"Meaning Tailor", "taylor"
"Meaning Tall Ruler", "timberly"
"Meaning Tall", "temira"
"Meaning Team", "tandice"
"Meaning Tender, Good Gracious", "terence"
"Meaning Tender", "terentia"
"Meaning The Angel", "tangia"
"Meaning The Lord Is Good", "toby"
"Meaning The Pure One", "thrine"
"Meaning The Sea", "thalassa"
"Meaning The Third", "tertius"
"Meaning The Trinity", "trini"
"Meaning Third", "tryna"
"Meaning Thirty", "trent"
"Meaning Thread", "twyla"
"Meaning Three, the Trinity", "tiffany"
"Meaning Three", "trey"
"Meaning Throne, Seat of Royalty", "thron"
"Meaning Thunder", "thor"
"Meaning Thunder", "thora"
"Meaning Thyme Herb", "tyme"
"Meaning Tiger", "teigra"
"Meaning Time of Opportunity", "toki"
"Meaning To Beget", "thane"
"Meaning To Honor God", "timothy"
"Meaning To reap", "tess"
"Meaning To Throw or Carry", "tara"
"Meaning Town of Sanctuary", "templeton"
"Meaning Toy", "toyah"
"Meaning Trapper", "trapper"
"Meaning True", "trula"
"Meaning True", "truly"
"Meaning Trusted", "themba"
"Meaning Twin", "tamas"
"Meaning Twin", "tamasine"
"Meaning Twin", "tameka"
"Meaning Twin", "tasmine"
"Meaning Twin", "thom"
"Meaning Upper Story", "thel"
"Meaning Variation of Rory", "trory"
"Meaning Victor", "tolla"
"Meaning Victorious", "torie"
"Meaning Warrior Woman", "truda"
"Meaning Water or Footsoldier", "troy"
"Meaning Whole, Honest", "temima"
"Meaning Whole, Perfect", "tama"
"Meaning Wolf", "tala"
"Meaning Worthy of Praise", "toni"
"Meaning Worthy of Praise", "tony"
"Meaning Young Eagle", "tuari"
