"Meaning 7", "seven"
"Meaning From the Forest, Woods", "sylvester"
"Meaning From the Forest", "sylvia"
"Meaning From the Gem", "sapphire"
"Meaning From the name ALEXANDER", "sandra"
"Meaning From the name ALEXANDER", "sandy"
"Meaning From the name CECILIA", "sheila"
"Meaning From the name CECILIA", "sissy"
"Meaning From the name CHARISSE", "sherise"
"Meaning From the name CHARLES", "sharlene"
"Meaning From the name CYBILL", "sibyl"
"Meaning From the name JAMES", "seamus"
"Meaning From the name JAMES", "shamus"
"Meaning From the name JOHN", "sean"
"Meaning From the name JOHN", "shaun"
"Meaning From the name JOHN", "shawn"
"Meaning From the name SABINE", "sabina"
"Meaning From the name SABRA", "sabrina"
"Meaning From the name SALVADOR", "sal"
"Meaning From the name SAMUEL", "sam"
"Meaning From the name SANTO", "santos"
"Meaning From the name SARAH", "sadie"
"Meaning From the name SARAH", "sara"
"Meaning From the name SCOTT", "scot"
"Meaning From the name SHANNON", "shanon"
"Meaning From the name SHELDON", "shel"
"Meaning From the name SIDNEY", "sid"
"Meaning From the name Silvia", "sasilvia"
"Meaning From the name SKIPPER", "skip"
"Meaning From the name SONIA", "sonya"
"Meaning From the name SOPHIA", "sofia"
"Meaning From the name SOPHIE", "sophia"
"Meaning From the name SPENCER", "spence"
"Meaning From the name STANISLAV", "stanislaw"
"Meaning From the name STANLEY", "stan"
"Meaning From the name STAR", "starr"
"Meaning From the name STEVEN", "stefan"
"Meaning From the name STEVEN", "steffi"
"Meaning From the name STEVEN", "steffie"
"Meaning From the name STEVEN", "step"
"Meaning From the name STEVEN", "stephan"
"Meaning From the name STEVEN", "stephanie"
"Meaning From the name STEVEN", "stephen"
"Meaning From the name STEVEN", "stephenie"
"Meaning From the name STEVEN", "steve"
"Meaning From the name STEVEN", "stevie"
"Meaning From the name STUART", "stew"
"Meaning From the name STUART", "stewart"
"Meaning From the name STUART", "stu"
"Meaning From the name SUSAN", "sue"
"Meaning From the name SUSAN", "sukey"
"Meaning From the name SUSAN", "susanna"
"Meaning From the name SUSAN", "susannah"
"Meaning From the name SUSAN", "susie"
"Meaning From the name SUSAN", "suzanne"
"Meaning From the name SUSAN", "suzette"
"Meaning From the name SUSAN", "suzy"
"Meaning From the name SYLVIA", "sylvie"
"Meaning From the name ZACHERY", "saku"
"Meaning From the spice OR Prophet", "sage"
"Meaning Fulfilled", "semira"
"Meaning Girl Child of Bliss", "sachi"
"Meaning Glory of the Camp", "stanislav"
"Meaning God Has Heard", "samuel"
"Meaning God is Gracious", "seanna"
"Meaning God is Gracious", "shana"
"Meaning God is Gracious", "shandi"
"Meaning God is gracious", "shane"
"Meaning God of War", "soren"
"Meaning Goddess who Watched OVer Bath", "sulis"
"Meaning Good Fortune", "serendipity"
"Meaning Good Thing", "sunee"
"Meaning Grateful", "shakir"
"Meaning Happiness", "sanyu"
"Meaning Heavenly, Winged Angel", "serafina"
"Meaning Helper", "saidi"
"Meaning Helper/Defender of Mankind", "sondra"
"Meaning Her Place", "safara"
"Meaning Holy Man", "shaman"
"Meaning Hope", "speranza"
"Meaning Hurried", "sarda"
"Meaning Impetuous Nature", "stormy"
"Meaning Inca Gold", "sahara"
"Meaning Invincible", "sanjeet"
"Meaning Irish form of JANE", "sinead"
"Meaning It is heard", "simon"
"Meaning It is heard", "simone"
"Meaning Jane, God is Gracious", "sheena"
"Meaning Jane, God is Gracious", "sine"
"Meaning Jewel", "serwa"
"Meaning Keeper of the Estate", "stuart"
"Meaning Kingdom in Arabia", "sheba"
"Meaning Lily", "sanne"
"Meaning Lily", "shoshana"
"Meaning Lily", "shoushan"
"Meaning Lily", "sonel"
"Meaning Lily", "susane"
"Meaning Lion", "simba"
"Meaning Listener", "solada"
"Meaning Long, Heavy Nail", "spike"
"Meaning Lunar Glow", "selina"
"Meaning Marshy Land Near the Sea", "seymour"
"Meaning Marvelous", "shani"
"Meaning Military Man", "sargent"
"Meaning Money", "sika"
"Meaning Nice", "sarama"
"Meaning Of Ancient Italian Culture", "sabine"
"Meaning Of Scottish Origin", "scott"
"Meaning Of the Forest", "sylvain"
"Meaning Old, Ancient", "saba"
"Meaning Old", "synan"
"Meaning On a Hill, Protected", "sheldon"
"Meaning Ostrich from Water", "sadira"
"Meaning Ostrich", "seghen"
"Meaning Peaceful Disposition", "serenity"
"Meaning Peaceful", "serepta"
"Meaning Peaceful", "shiloh"
"Meaning Peaceful", "shlomo"
"Meaning Peaceful", "solomon"
"Meaning Peacemaker", "sheehan"
"Meaning Pet form of ALEXANDER", "sasha"
"Meaning Pleasant Sounding", "sonora"
"Meaning Precious Stone", "shamira"
"Meaning Precious Water", "shasa"
"Meaning Pretty", "shakila"
"Meaning Pretty", "shaquille"
"Meaning Princess", "sarah"
"Meaning Protector of Mankind", "saskia"
"Meaning Protector", "sanjay"
"Meaning Quiet, Gentle", "stillman"
"Meaning Ready for Battle", "shamara"
"Meaning Red", "scarlett"
"Meaning Reddish Brown", "sienna"
"Meaning Resurrection", "stacey"
"Meaning Resurrection", "stacia"
"Meaning Resurrection", "stacy"
"Meaning Rock", "sela"
"Meaning Rocky Area", "shantell"
"Meaning Rocky Meadow", "stanley"
"Meaning Rose", "shoshanah"
"Meaning Rose", "sirvat"
"Meaning Round Basket", "spyridon"
"Meaning Sacred Dancer", "satinka"
"Meaning Sailor", "sailor"
"Meaning Saint John", "sinjin"
"Meaning Salt", "salena"
"Meaning Savior", "salvador"
"Meaning Savior", "salvatore"
"Meaning Scholar", "schuyler"
"Meaning Serene, Calm", "serena"
"Meaning Servant", "serge"
"Meaning Severe", "severino"
"Meaning Shalom/Welcome, Peace", "salome"
"Meaning Shearer or Servant", "sherman"
"Meaning Sheltering", "skylar"
"Meaning Sheltering", "skyler"
"Meaning Shipmaster", "skipper"
"Meaning Signal, Sign", "signa"
"Meaning Small and Wise", "shanna"
"Meaning Smooth Fabric", "satin"
"Meaning Solitary", "solange"
"Meaning Song is Mine", "shirley"
"Meaning Song of my Soul", "shiri"
"Meaning Sowing, Planting", "season"
"Meaning Star Born", "sidra"
"Meaning Star", "stella"
"Meaning Stem of Bamboo", "shino"
"Meaning Stone", "stone"
"Meaning Street", "syshe"
"Meaning Sugar", "sugar"
"Meaning Sun or See SOLOMON", "sol"
"Meaning Sun", "soleil"
"Meaning Swordsman", "saxen"
"Meaning Swordsman", "saxon"
"Meaning Swordsman", "saxton"
"Meaning Thankful", "shakira"
"Meaning The Color Silver", "silver"
"Meaning The Listener", "samantha"
"Meaning The Moon", "selena"
"Meaning The Season", "summer"
"Meaning The Town to the South", "sutton"
"Meaning Thorny Cactus", "sabra"
"Meaning Three", "shasta"
"Meaning To Entice", "sidonia"
"Meaning To Sow", "semele"
"Meaning To Stain", "sully"
"Meaning Town Near Tree Trunk", "stockton"
"Meaning Treasure, Prize", "sima"
"Meaning Treeless Plain", "savannah"
"Meaning Trinity", "selas"
"Meaning Valuable", "sterling"
"Meaning Venerable", "sebastian"
"Meaning Victory", "shing"
"Meaning viking", "sorley"
"Meaning Warrior", "sloan"
"Meaning Warrior", "sloane"
"Meaning Warrior", "slone"
"Meaning Wealthy", "sumana"
"Meaning Well-going", "sivney"
"Meaning Wild", "sheridan"
"Meaning Wind from the East", "solana"
"Meaning Wisdom", "sonia"
"Meaning Wisdom", "sophie"
"Meaning Woodcutter", "sawyer"
"Meaning Yellow", "saffron"
"Meaning youth", "sileas"
"Meaning Youth", "svein"
