"Meaning A distant Place", "lana"
"Meaning From the name ELIZABETH", "libba"
"Meaning From the name ELIZABETH", "libby"
"Meaning From the name ELIZABETH", "lisbet"
"Meaning From the name ELIZABETH", "liz"
"Meaning From the name ELIZABETH", "liza"
"Meaning From the name ELIZABETH", "lizbeth"
"Meaning From the name GUADALUPE", "lupe"
"Meaning From the name GUADALUPE", "lupita"
"Meaning From the name JOHN", "lajuan"
"Meaning From the name JOHN", "lajuana"
"Meaning From the name LALE", "lalo"
"Meaning From the name LALE", "lulli"
"Meaning From the name LANDRY", "landers"
"Meaning From the name LANDRY", "landis"
"Meaning From the name LANG", "langer"
"Meaning From the name LARISSA", "lacey"
"Meaning From the name LARISSA", "lacy"
"Meaning From the name LAURA", "laurie"
"Meaning From the name LAURA", "lora"
"Meaning From the name LAURA", "lorraine"
"Meaning From the name LAWRENCE", "larry"
"Meaning From the name LAWRENCE", "lars"
"Meaning From the name LAWRENCE", "laurence"
"Meaning From the name LAWRENCE", "lawrencia"
"Meaning From the name LAWRENCE", "lorenzo"
"Meaning From the name LAWRENCE", "lorne"
"Meaning From the name LAYNE", "layne"
"Meaning From the name LEAH", "lia"
"Meaning From the name LEE", "leigh"
"Meaning From the name LEON", "lionel"
"Meaning From the name LEONA", "lenora"
"Meaning From the name LEONA", "leola"
"Meaning From the name LEONA", "leoma"
"Meaning From the name LEONA", "leonora"
"Meaning From the name LEONARD", "leon"
"Meaning From the name LESTER", "les"
"Meaning From the name LEVI", "lavey"
"Meaning From the name LILAC", "lilah"
"Meaning From the name LILLIAN", "lilli"
"Meaning From the name LILLIAN", "lily"
"Meaning From the name LINDA", "lin"
"Meaning From the name LINDA", "lyn"
"Meaning From the name LINDA", "lynda"
"Meaning From the name LINDA", "lynette"
"Meaning From the name LINDA", "lynn"
"Meaning From the name LINDA", "lynne"
"Meaning From the name LINDSEY OR LINDA", "lindy"
"Meaning From the name LINDSEY", "lindsay"
"Meaning From the name LISA", "lysa"
"Meaning From the name LISLE", "lyle"
"Meaning From the name LOUIS", "lewis"
"Meaning From the name LOUIS", "lou"
"Meaning From the name LOUIS", "luis"
"Meaning From the name LOUISA", "louise"
"Meaning From the name LOUISA", "lulu"
"Meaning From the name LOUISE", "lula"
"Meaning From the name LUCILLE OR LUCUS", "lucy"
"Meaning From the name LUCILLE", "lucie"
"Meaning From the name LUCUS", "luce"
"Meaning From the name LUCUS", "lucius"
"Meaning From the name LUCUS", "luke"
"Meaning From the name LYNDON", "lynde"
"Meaning From the name OLIVER", "livvy"
"Meaning From the name OLIVIA", "liv"
"Meaning From the name OLIVIA", "livi"
"Meaning From the name OLIVIA", "livia"
"Meaning Full of Light", "lucretia"
"Meaning Generous One", "lilo"
"Meaning God Has Helped", "lazarus"
"Meaning God Will Help", "lazar"
"Meaning God Will Help", "lazzaro"
"Meaning Good, Fine", "liang"
"Meaning Graceful as a Willow", "lian"
"Meaning Graceful Willow", "leane"
"Meaning Graceful Willow", "leanna"
"Meaning Gracious Warrior", "louanna"
"Meaning Gracious, Poetic", "leighanna"
"Meaning Grassy Plain", "landen"
"Meaning Grassy Plain", "landon"
"Meaning Greek Goddess", "latona"
"Meaning Grey Fortress", "lesley"
"Meaning Grey", "lloyd"
"Meaning Handsome One", "lonnie"
"Meaning Happy", "licia"
"Meaning Happy", "lok"
"Meaning Harness Maker", "lorimer"
"Meaning He who will Free Us", "lysander"
"Meaning Head of Household", "laird"
"Meaning Heart", "lev"
"Meaning Heavenly Flower", "leilani"
"Meaning Hidden", "lot"
"Meaning Hill", "lyde"
"Meaning Hindu God", "latika"
"Meaning Idol, Bird", "linette"
"Meaning Illumination", "leena"
"Meaning Illumination", "lenka"
"Meaning Imposter", "lonnit"
"Meaning Joined To", "levi"
"Meaning Journey", "leeto"
"Meaning Joy, Gladness", "letitia"
"Meaning King", "loe"
"Meaning Lake or Fjord", "lachlan"
"Meaning Land", "lancelot"
"Meaning Laurel-Crowned", "laura"
"Meaning Laurel-Crowned", "lawrence"
"Meaning Left-handed", "lefty"
"Meaning Light", "lenci"
"Meaning Light", "lenore"
"Meaning Light", "leora"
"Meaning Light", "lina"
"Meaning Light", "liora"
"Meaning Light", "lucia"
"Meaning Light", "lucille"
"Meaning Light", "lucus"
"Meaning Like A Lion", "leona"
"Meaning Like A Lion", "leonard"
"Meaning Like a Lion", "llewellyn"
"Meaning Like the Spring", "laverne"
"Meaning Lilac", "lilia"
"Meaning Lily Flower", "lilika"
"Meaning Lime Tree", "lanaya"
"Meaning Lime Tree", "linnea"
"Meaning Linden Trees Near the Water", "lindsey"
"Meaning Lion", "lavi"
"Meaning Lion", "lencho"
"Meaning Lion", "leone"
"Meaning Lion", "lisimba"
"Meaning Lioness", "leonie"
"Meaning Lioness", "liona"
"Meaning Lioness", "lona"
"Meaning Lithe", "lincoln"
"Meaning Little Loved One", "lovette"
"Meaning Lofty", "lela"
"Meaning Lord", "laval"
"Meaning Lord", "lave"
"Meaning Lotus Flower", "lien"
"Meaning Love is Beautiful", "lolonyo"
"Meaning Love is Sweet", "lolovivi"
"Meaning Love", "lerato"
"Meaning Love", "love"
"Meaning Love", "luthando"
"Meaning Loved One", "lovey"
"Meaning Loved One", "lovie"
"Meaning Loyal", "leala"
"Meaning Lunar", "livana"
"Meaning Man of Light", "lucian"
"Meaning Meadow near the Brook", "lynley"
"Meaning Meadowland", "leland"
"Meaning Meadowlands", "leslie"
"Meaning Melody", "lorelei"
"Meaning Moon", "lucine"
"Meaning Mountain of the Chief", "ludlow"
"Meaning Musical Grace", "lirit"
"Meaning Near the Sea", "latimer"
"Meaning Night", "lila"
"Meaning of God", "lael"
"Meaning Of the Island", "lisle"
"Meaning Of the Night", "lilith"
"Meaning Of The Sea", "lamar"
"Meaning One Who Refuses", "lehana"
"Meaning Pasture", "lindley"
"Meaning Peaceful, Calm", "luam"
"Meaning Pet form of LAURA", "loretta"
"Meaning Pet Form of LOURA", "lourine"
"Meaning Pretty One", "linda"
"Meaning Pretty", "lyndel"
"Meaning Pretty", "lynelle"
"Meaning Pretty", "lynnea"
"Meaning Protector of Mankind", "lexiss"
"Meaning Province in Asia", "lidia"
"Meaning Risen", "levana"
"Meaning Rough Land", "landry"
"Meaning Route or Path", "laina"
"Meaning Sailor", "lynch"
"Meaning Scandinavian", "loughlin"
"Meaning Section of France where Virgin Mary was seen", "lourdes"
"Meaning She Who Plays", "lalita"
"Meaning Shining", "lara"
"Meaning Sim. Lakia, Found Treasure", "lakin"
"Meaning Singing Hawk while Soaring", "liluye"
"Meaning Sky", "lani"
"Meaning Small Cove", "logan"
"Meaning Soft", "lamis"
"Meaning Songbird", "lark"
"Meaning Spartan Queen", "leda"
"Meaning Spartan Queen", "ledell"
"Meaning Spear", "lance"
"Meaning Spice", "levon"
"Meaning Spring", "lente"
"Meaning Suave", "lizina"
"Meaning Taker", "lel"
"Meaning Tall One", "lang"
"Meaning Temptress, Illustrious", "lena"
"Meaning Terrace, Veranda", "lanai"
"Meaning The Fifth", "laquinta"
"Meaning The Flower", "lotus"
"Meaning The King", "leroy"
"Meaning The Moon", "luna"
"Meaning The Mountain", "lamont"
"Meaning The Queen", "lareina"
"Meaning The Quiet One", "laqueta"
"Meaning The Street", "larue"
"Meaning The Well in the Lowlands", "larvall"
"Meaning To Move On", "lane"
"Meaning To Sing a Lullabye, Soothe", "lale"
"Meaning To Talk", "loba"
"Meaning To Wrap or Bind", "liana"
"Meaning Town near the Brook", "lynton"
"Meaning Treasure", "lakia"
"Meaning Tulip", "lala"
"Meaning Twilight", "lycoris"
"Meaning Unknown", "liseli"
"Meaning Warring Ones", "luther"
"Meaning Warrior Maiden", "lilka"
"Meaning Warrior", "luigi"
"Meaning Waterfall", "lynna"
"Meaning Weary", "leia"
"Meaning Wild Dove", "luyu"
"Meaning Wolf", "lobo"
"Meaning Woman of Rome", "lavina"
"Meaning Wood", "lavonn"
"Meaning Wood", "lavonne"
"Meaning Wreath of Pearls", "leimomi"
"Meaning Young Girl, Maiden", "lassie"
"Meaning Young Hare", "leverett"
